Train_No,Journey_Duration_Minutes,Total_Distance,Number_of_Stops
12398,905.0,981,15
12401,1180.0,1049,28
12402,1125.0,1049,28
12405,1550.0,1461,29
12406,1470.0,1464,29
12407,2000.0,1821,19
12408,1985.0,1824,19
12409,1680.0,1613,35
12410,1665.0,1608,35
12411,270.0,247,9
12412,265.0,247,9
12413,1095.0,1016,21
12414,1090.0,1017,22
12415,855.0,815,23
12416,870.0,817,22
12417,570.0,624,6
12418,570.0,624,7
12419,545.0,504,16
12420,540.0,504,16
12421,2105.0,1927,23
12422,1995.0,1929,23
12423,2340.0,2422,22
12424,2390.0,2423,22
12425,545.0,576,5
12426,560.0,576,5
12427,875.0,844,12
12428,825.0,844,13
12431,2485.0,2841,19
12432,2520.0,2840,19
12433,1695.0,2156,10
12434,1700.0,2155,10
12435,2625.0,2452,26
12436,2760.0,2454,26
12437,1300.0,1651,7
12438,1325.0,1652,7
12439,1015.0,1297,8
12440,1020.0,1300,8
12441,1255.0,1487,10
12442,1215.0,1483,10
12443,1640.0,1572,14
12444,1520.0,1572,14
12445,710.0,654,11
12446,705.0,654,11
12447,740.0,676,12
12448,745.0,679,12
12449,2185.0,2159,14
12450,2200.0,2157,14
12451,410.0,430,3
12452,395.0,430,3
12453,1060.0,1333,7
12454,1110.0,1336,7
12455,870.0,790,21
12456,875.0,790,21
12457,465.0,455,14
12458,460.0,455,14
12459,485.0,447,15
12460,480.0,447,17
12461,645.0,618,18
12462,655.0,619,16
12463,610.0,614,8
12464,640.0,615,8
12465,975.0,905,29
12466,995.0,906,29
12467,760.0,700,22
12468,755.0,699,22
12469,1110.0,1025,14
12470,1120.0,1025,14
12471,1995.0,2017,26
12472,1975.0,2019,26
12473,1780.0,1736,24
12474,1745.0,1739,25
12475,2140.0,2055,31
12476,2140.0,2058,31
12477,2155.0,2064,31
12478,2150.0,2066,31
12479,1010.0,934,17
12480,1020.0,932,17
12481,450.0,409,15
12482,460.0,409,15
12483,3505.0,3290,27
12484,3440.0,3288,27
12485,2130.0,1937,27
12486,1980.0,1940,27
12487,1500.0,1364,19
12488,1495.0,1364,19
12489,1340.0,1244,22
12490,1355.0,1244,22
12491,1850.0,1609,22
12492,1800.0,1612,22
12493,1460.0,1498,10
12494,1430.0,1501,10
12495,1915.0,1878,20
12496,1860.0,1876,20
12497,460.0,447,14
12498,460.0,447,15
12501,1845.0,1914,10
12502,1980.0,1914,10
12503,3075.0,3032,23
12504,2945.0,3032,23
12505,2015.0,1850,30
12506,2045.0,1850,29
12507,4445.0,3932,58
12508,4485.0,3930,56
12509,3260.0,2992,42
12510,3200.0,2993,41
12511,3520.0,3239,61
12512,3425.0,3245,60
12513,2790.0,2564,31
12514,2740.0,2567,30
12515,4595.0,3932,57
12516,4485.0,3930,56
12517,1095.0,1027,14
12518,1080.0,1027,14
12519,2675.0,2568,28
12520,2670.0,2567,28
12521,3720.0,3427,63
12522,3635.0,3435,62
12523,1675.0,1496,18
12524,1650.0,1499,18
12525,1725.0,1584,23
12526,1720.0,1583,23
12527,475.0,395,11
12529,645.0,518,10
12530,590.0,522,10
12531,300.0,277,12
12532,300.0,278,12
12533,1445.0,1424,16
12534,1455.0,1423,15
12535,1025.0,903,13
12536,1005.0,905,12
12537,590.0,543,15
12538,615.0,543,15
12539,2760.0,2548,18
12540,2680.0,2541,18
12541,1810.0,1685,16
12542,1790.0,1686,16
12545,2235.0,2045,21
12546,2245.0,2045,21
12547,925.0,866,12
12548,925.0,864,12
12549,1990.0,1847,18
12550,2000.0,1858,18
12551,3210.0,3024,29
12552,3145.0,3024,29
12553,1275.0,1167,21
12554,1285.0,1170,21
12555,1045.0,952,15
12556,1045.0,953,15
12557,1155.0,1057,16
12558,1175.0,1059,16
12559,750.0,745,4
12560,725.0,745,4
12561,1350.0,1223,22
12562,1355.0,1224,21
12565,1255.0,1153,11
12566,1260.0,1156,11
12567,240.0,219,9
12568,240.0,219,9
12569,1220.0,1238,23
12570,1240.0,1238,23
12572,800.0,829,9
12577,3330.0,3045,41
12578,3305.0,3051,40
12581,830.0,745,6
12582,755.0,745,6
12587,1335.0,1246,18
12588,1305.0,1247,18
12589,1955.0,1833,31
12590,1920.0,1836,31
12591,2745.0,2513,40
12592,2745.0,2504,40
12593,650.0,581,6
12594,660.0,581,6
12595,770.0,760,6
12596,710.0,761,6
12597,1665.0,1693,13
12598,1695.0,1694,13
12601,965.0,883,31
12602,975.0,885,33
12603,780.0,715,22
12604,785.0,716,21
12605,435.0,425,13
12606,425.0,425,13
12607,360.0,360,12
12608,345.0,361,13
12609,390.0,360,19
12610,390.0,361,19
12611,1695.0,2156,11
12612,1700.0,2155,11
12613,150.0,138,4
12614,150.0,138,4
12615,2155.0,2169,41
12616,2190.0,2168,40
12617,2880.0,2751,48
12618,2940.0,2748,48
12619,970.0,893,24
12620,960.0,899,22
12621,1985.0,2163,12
12622,1960.0,2163,11
12623,960.0,913,21
12624,1000.0,916,22
12625,3030.0,3013,43
12626,3080.0,3010,42
12627,2350.0,2386,36
12628,2425.0,2389,35
12629,2835.0,2595,14
12630,2735.0,2595,14
12631,660.0,649,15
12632,670.0,649,16
12633,780.0,738,17
12634,785.0,737,18
12635,460.0,492,10
12636,455.0,492,11
12637,495.0,492,11
12638,500.0,492,12
12639,370.0,360,12
12640,365.0,361,13
12641,2805.0,2899,25
12642,2975.0,2898,26
12643,3055.0,2991,32
12644,3195.0,2988,31
12645,2770.0,2786,29
12646,2885.0,2782,28
12647,2830.0,2650,28
12648,2920.0,2651,28
12649,2115.0,2257,9
12650,2230.0,2258,9
12651,2490.0,2653,15
12652,2655.0,2652,15
12653,345.0,336,14
12654,360.0,335,15
12655,1950.0,1893,41
12656,1970.0,1895,42
12657,355.0,360,8
12658,355.0,361,8
12659,2825.0,2579,44
12660,2805.0,2579,44
12661,705.0,665,18
12662,700.0,665,18
12663,2120.0,2005,24
12664,2090.0,2004,24
12665,2535.0,2407,32
12666,2600.0,2406,32
12667,795.0,722,11
12668,745.0,722,11
12669,2525.0,2348,25
12670,2485.0,2343,24
12671,550.0,526,9
12672,560.0,529,9
12673,485.0,491,8
12674,485.0,493,9
12675,455.0,491,11
12676,455.0,493,12
12677,640.0,581,14
12678,640.0,582,14
12679,465.0,491,12
12680,455.0,493,12
12681,490.0,491,7
12682,470.0,493,8
12683,675.0,617,14
12684,670.0,616,14
12685,965.0,883,18
12686,940.0,885,18
12687,3190.0,3067,30
12688,3240.0,3064,31
12689,1005.0,918,19
12690,1005.0,920,20
12691,610.0,528,11
12692,650.0,528,14
12693,665.0,652,22
12694,700.0,651,22
12695,970.0,914,21
12696,1005.0,916,21
12697,920.0,901,14
12698,965.0,903,14
12701,860.0,791,16
12702,850.0,793,17
12703,1540.0,1549,26
12704,1550.0,1548,27
12705,410.0,391,14
12706,405.0,390,14
12707,2180.0,2292,20
12708,2305.0,2294,20
12709,650.0,651,17
12710,620.0,650,17
12711,420.0,430,14
12712,425.0,429,14
12713,330.0,358,9
12714,355.0,358,9
12715,2090.0,2056,37
12716,2065.0,2059,36
12717,380.0,350,13
12718,365.0,350,13
12719,1850.0,1718,21
12720,1835.0,1720,21
12721,1775.0,1662,46
12722,1800.0,1662,46
12723,1600.0,1669,18
12724,1570.0,1669,16
12725,530.0,491,17
12726,530.0,488,17
12727,770.0,718,21
12728,755.0,719,21
12729,720.0,658,13
12730,720.0,658,13
12731,865.0,790,16
12732,870.0,790,16
12733,720.0,661,23
12734,720.0,661,23
12735,710.0,686,11
12736,735.0,686,11
12737,615.0,575,21
12738,615.0,575,21
12739,700.0,708,12
12740,670.0,708,12
12741,2465.0,2243,21
12742,2575.0,2238,20
12747,385.0,353,15
12748,375.0,353,15
12749,475.0,441,19
12750,475.0,438,19
12757,320.0,305,14
12758,320.0,305,14
12759,830.0,797,17
12760,825.0,798,17
12761,735.0,712,12
12762,775.0,710,12
12763,770.0,744,19
12764,750.0,743,19
12765,1420.0,1305,24
12766,1430.0,1305,24
12767,1680.0,1572,19
12768,1685.0,1578,19
12769,775.0,711,17
12770,775.0,711,17
12771,615.0,587,14
12772,625.0,586,14
12773,1585.0,1590,16
12774,1645.0,1589,16
12775,645.0,598,11
12776,640.0,598,11
12777,1425.0,1295,22
12778,1430.0,1297,22
12779,2350.0,2148,29
12780,2370.0,2151,29
12781,2700.0,2602,32
12782,2825.0,2602,32
12783,765.0,710,15
12784,775.0,708,15
12785,680.0,623,17
12786,680.0,623,16
12791,1975.0,1843,29
12792,1995.0,1840,28
12795,320.0,314,4
12796,315.0,314,4
12797,770.0,707,22
12798,770.0,707,24
